id,name,weight,is_expansion,reimplements,has_versions,n_versions
240271,Core Space,3.2796,False,False,True,2
397931,Deep Regrets,3.2796,False,False,True,2
383469,Unmatched: Sun's Origin,3.2796,False,False,True,2
388367,Innovation Ultimate,3.2796,False,False,True,2
383010,Clank! Legacy 2: Acquisitions Incorporated – Darkest Magic,3.2796,False,False,True,2
415945,Unmatched: Slings and Arrows,3.2796,False,False,True,2
355200,Marvel Zombies: X-Men Resistance,3.2796,False,False,True,2
364655,Kinfire Chronicles: Night's Fall,3.2796,False,False,True,2
212346,Shadows of Brimstone: Forbidden Fortress,3.2796,False,False,True,2
360366,Tainted Grail: Kings of Ruin,3.2796,False,False,True,2
424219,Zenith,3.2796,False,False,True,2
261393,Dungeon Universalis,3.2796,False,False,True,2
68820,Enemy Action: Ardennes,3.2796,False,False,True,2
425549,Moon Colony Bloodbath,3.2796,False,False,True,2
420498,Unstoppable,3.2796,False,False,True,2
431038,Azul Duel,3.2796,False,False,True,2
381247,Dragon Eclipse,3.2796,False,False,True,2
219217,Arena: The Contest,3.2796,False,False,True,2
345266,Tales from the Red Dragon Inn,3.2796,False,False,True,2
31790,"Crusade and Revolution: The Spanish Civil War, 1936-1939",3.2796,False,False,True,2
349750,Molly House,3.2796,False,False,True,2
425005,Everdell Duo,3.2796,False,False,True,2
377969,Marvel United: Multiverse,3.2796,False,False,True,2
273814,Deliverance,3.2796,False,False,True,2
233261,Tidal Blades 2: Rise of the Unfolders,3.2796,False,False,True,2
281515,Company of Heroes,3.2796,False,False,True,2
331398,Mythic Battles: Ragnarök,3.2796,False,False,True,2
264476,Rangers of Shadow Deep,3.2796,False,False,True,2
431305,Great Western Trail: El Paso,3.2796,False,False,True,2
446497,Hot Streak,3.2796,False,False,True,2
424981,Eternal Decks,3.2796,False,False,True,2
408637,The Anarchy,3.2796,False,False,True,2
373667,House of Fado,3.2796,False,False,True,2
392492,Stupor Mundi,3.2796,False,False,True,2
287871,Hybris: Disordered Cosmos,3.2796,False,False,True,2
408636,Skara Brae,3.2796,False,False,True,2
432527,Ethnos: 2nd Edition,3.2796,False,False,True,2
325096,Skies Above Britain,3.2796,False,False,True,2
99358,Stonewall Jackson's Way II: Battles of Bull Run,3.2796,False,False,True,2
336195,League of Dungeoneers,3.2796,False,False,True,2
266529,Metal Gear Solid: The Board Game,3.2796,False,False,True,2
314577,"Pacific War: The Struggle Against Japan, 1941-1945 (Second Edition)",3.2796,False,False,True,2
367527,Fields of Fire: Deluxe Edition,3.2796,False,False,True,2
317519,Frostgrave: Second Edition,3.2796,False,False,True,2
437306,Parks (Second Edition),3.2796,False,False,True,2
420914,Iliad,3.2796,False,False,True,2
426513,Emberleaf,3.2796,False,False,True,2
178896,"Last Blitzkrieg: Wacht am Rhein, The Battle of the Bulge",3.2796,False,False,True,2
396895,Corps of Discovery: A Game Set in the World of Manifest Destiny,3.2796,False,False,True,2
215565,Roads to Gettysburg II: Lee Strikes North,3.2796,False,False,True,2
436217,The Lord of the Rings: Fate of the Fellowship,3.2796,False,False,True,2
209877,World At War 85: Storming the Gap,3.2796,False,False,True,2
358636,SAS: Rogue Regiment,3.2796,False,False,True,2
409978,Tiny Epic Game of Thrones,3.2796,False,False,True,2
424784,Arkham Horror: Lovecraft Letter,3.2796,False,False,True,2
360641,Maladum: Dungeons of Enveron,3.2796,False,False,True,2
424573,Pergola,3.2796,False,False,True,2
381246,S.T.A.L.K.E.R. The Board Game,3.2796,False,False,True,2
329089,A Most Fearful Sacrifice: The Three Days of Gettysburg,3.2796,False,False,True,2
419130,HUTAN: Life in the Rainforest,3.2796,False,False,True,2
349369,Tabriz,3.2796,False,False,True,2
431248,For a Crown,3.2796,False,False,True,2
432716,Leaders,3.2796,False,False,True,2
411860,Unmatched: The Witcher – Steel and Silver,3.2796,False,False,True,2
371330,Luthier,3.2796,False,False,True,2
401325,The Witcher: Path Of Destiny,3.2796,False,False,True,2
429114,Nova Era,3.2796,False,False,True,2
368557,Heroscape Master Set: Age of Annihilation,3.2796,False,False,True,2
421823,Æterna,3.2796,False,False,True,2
411861,Unmatched: The Witcher – Realms Fall,3.2796,False,False,True,2
375459,Speakeasy,3.2796,False,False,True,2
373701,Pax Hispanica,3.2796,False,False,True,2
420915,Ichor,3.2796,False,False,True,2
372831,Potions of Azerland,3.2796,False,False,True,2
433384,Rival Cities,3.2796,False,False,True,2
424816,Jungo,3.2796,False,False,True,2
382894,The Hunters A.D. 1492,3.2796,False,False,True,2
370210,Diatoms,3.2796,False,False,True,2
414117,Wroth,3.2796,False,False,True,2
414117,Wroth,3.2796,False,False,True,2
368789,AFU: Armed Forces of Ukraine,3.2796,False,False,True,2
354768,The Dark Quarter,3.2796,False,False,True,2
165694,The Cones of Dunshire,3.2796,False,False,True,2
424785,Crafting the Cosmos,3.2796,False,False,True,2
296578,Congress of Vienna,3.2796,False,False,True,2
421762,Emerald Skulls,3.2796,False,False,True,2
429851,Quorum,3.2796,False,False,True,2
411202,Apothebakery: The Culinary Alchemists,3.2796,False,False,True,2
411202,Apothebakery: The Culinary Alchemists,3.2796,False,False,True,2
402817,La Fleur,3.2796,False,False,True,2
372967,Trailblazer: The Arizona Trail,3.2796,False,False,True,2
347909,Rogue Angels: Legacy of the Burning Suns,3.2796,False,False,True,2
419645,Mindbug: Battlefruit Galaxy,3.2796,False,False,True,2
403150,World Order,3.2796,False,False,True,2
416232,Square One,3.2796,False,False,True,2
415108,Crisps!,3.2796,False,False,True,2
415524,Super Boss Monster,3.2796,False,False,True,2
329534,In the Shadows: Resistance in France 1943 - 1944,3.2796,False,False,True,2
406232,How to Save a World,3.2796,False,False,True,2
393114,Barbecubes,3.2796,False,False,True,2
364356,Company of Heroes: 2nd Edition,3.2796,False,False,True,2
411033,Wine Cellar,3.2796,False,False,True,2
428787,Présages,3.2796,False,False,True,2
372571,Tycoon: India 1981,3.2796,False,False,True,2
